,Price
2023-07-02,39.832768701633704
2023-07-03,39.34315993121238
2023-07-04,40.10818081316792
2023-07-05,40.66371944478565
2023-07-06,40.484939196658885
2023-07-07,41.297970151087085
2023-07-08,41.297970151087085
2023-07-09,41.297970151087085
2023-07-10,40.717946198255746
2023-07-11,41.6773694877779
2023-07-12,41.67644146910699
2023-07-13,41.98652254022847
2023-07-14,41.18961306964746
2023-07-15,41.18961306964746
2023-07-16,41.18961306964746
2023-07-17,40.484205871514554
2023-07-18,41.38483970028252
2023-07-19,41.27956209310896
2023-07-20,41.73712995946444
2023-07-21,42.38886009089793
2023-07-22,42.38886009089793
2023-07-23,42.38886009089793
2023-07-24,43.51435941530524
2023-07-25,43.992433361994834
2023-07-26,43.43250214961307
2023-07-27,44.55406583957745
2023-07-28,44.69929124186218
2023-07-29,44.69929124186218
2023-07-30,44.69929124186218
2023-07-31,45.41473774720549
2023-08-01,45.236079105760965
2023-08-02,44.42496806289153
2023-08-03,45.48487409409163
2023-08-04,45.88464992015723
2023-08-05,45.88464992015723
2023-08-06,45.88464992015723
2023-08-07,45.46463333742783
2023-08-08,46.16247144085492
2023-08-09,46.8256909470581
2023-08-10,46.01710170740695
2023-08-11,46.32074560864758
2023-08-12,46.32074560864758
2023-08-13,46.32074560864758
2023-08-14,46.12716865249969
2023-08-15,45.33254514187446
2023-08-16,44.60587274290628
2023-08-17,45.122251566146666
2023-08-18,45.57126520083528
2023-08-19,45.57126520083528
2023-08-20,45.57126520083528
2023-08-21,45.16776071735659
2023-08-22,45.0879204028989
2023-08-23,44.435544773369365
2023-08-24,44.678029726077874
2023-08-25,45.1885173811571
2023-08-26,45.1885173811571
2023-08-27,45.1885173811571
2023-08-28,45.217446873848424
2023-08-29,45.533013143348484
2023-08-30,45.592010809482865
2023-08-31,46.98281292224542
2023-09-01,48.2984430659624
2023-09-02,48.2984430659624
2023-09-03,48.92532551283625
2023-09-04,48.82916595012897
2023-09-05,49.22780923719444
2023-09-06,49.68490296032429
2023-09-07,49.43492507063014
2023-09-08,49.81898046922982
2023-09-09,49.81898046922982
2023-09-10,49.81898046922982
2023-09-11,49.504032674118655
2023-09-12,50.33382631126397
2023-09-13,50.303500798427706
2023-09-14,51.70104041272571
2023-09-15,51.87124677558039
2023-09-16,51.87124677558039
2023-09-17,51.87124677558039
2023-09-18,52.021470335339636
2023-09-19,52.02516644146911
2023-09-20,51.64178110797199
2023-09-21,50.87540105638127
2023-09-22,50.91981329075052
2023-09-23,50.91981329075052
2023-09-24,50.91981329075052
2023-09-25,51.11390676821029
2023-09-26,51.56568357695615
2023-09-27,53.38263112639724
2023-09-28,52.09117614543668
2023-09-29,51.57730008598451
2023-09-30,51.57730008598451
2023-10-01,51.57730008598451
2023-10-02,51.08562461614052
2023-10-03,51.29756049625353
2023-10-04,48.251341972730614
2023-10-05,47.035767718953444
2023-10-06,47.14459648691807
2023-10-07,47.14459648691807
2023-10-08,47.14459648691807
2023-10-09,49.16381279941039
2023-10-10,48.71500061417516
2023-10-11,47.456642304385205
2023-10-12,47.71248003930721
2023-10-13,50.44596486918069
2023-10-14,50.44596486918069
2023-10-15,50.44596486918069
2023-10-16,49.57877901977644
2023-10-17,49.60473651885518
2023-10-18,50.860154157965844
2023-10-19,51.27327048274168
2023-10-20,51.05632231912541
2023-10-21,51.05632231912541
2023-10-22,51.05632231912541
2023-10-23,48.58220120378332
2023-10-24,48.109554723007
2023-10-25,49.22131617737378
2023-10-26,47.9869573762437
2023-10-27,49.22712811693895
2023-10-28,49.22712811693895
2023-10-29,49.22712811693895
2023-10-30,47.25119272816607
2023-10-31,46.731728288907995
2023-11-01,46.53395774474879
2023-11-02,47.49859231052696
2023-11-03,45.90977214101462
2023-11-04,45.90977214101462
2023-11-05,45.90977214101462
2023-11-06,46.185849404250085
2023-11-07,44.314423903697325
2023-11-08,43.19617307456086
2023-11-09,43.60207591205012
2023-11-10,44.3463241616509
2023-11-11,44.3463241616509
2023-11-12,44.3463241616509
2023-11-13,44.88169389509888
2023-11-14,44.126057609630266
2023-11-15,43.46968615649183
2023-11-16,41.3572147156369
2023-11-17,42.802272448102194
2023-11-18,42.802272448102194
2023-11-19,42.802272448102194
2023-11-20,43.68556504114974
2023-11-21,43.85093723129837
2023-11-22,43.56402776071735
2023-11-23,42.98520574867952
2023-11-24,42.52464439258076
2023-11-25,42.52464439258076
2023-11-26,42.52464439258076
2023-11-27,42.09688736027515
2023-11-28,42.787289030831595
2023-11-29,43.655623387790186
2023-11-30,42.896646603611345
2023-12-01,41.89958236088932
2023-12-02,41.89958236088932
2023-12-03,41.89958236088932
2023-12-04,41.55490480284977
2023-12-05,41.24971133767351
2023-12-06,39.735834049871016
2023-12-07,39.59047844245178
2023-12-08,40.75704213241616
2023-12-09,40.75704213241616
2023-12-10,40.75704213241616
2023-12-11,40.82110797199361
2023-12-12,39.16948470703844
2023-12-13,39.36897678417884
2023-12-14,40.16837304999385
2023-12-15,40.45725709372312
